黑产口径,黑产总量,当前ONLINE拦截,ONLINE召回%,172单独命中,172召回%,ONLINE+ARqk,ONLINE+ARqk召回%,漏召回(PASS),漏召回%
田志鲔口径(token≤0.3且非+1/+86),3711,2237,60.3,1936,52.2,2755,74.2,1474,39.7
本文黑产标签(SOP≥2类交叉),6137,3301,53.8,1865,30.4,3819,62.2,2836,46.2
